date,sales
2025-01-01,-0.13303034738544756
2025-01-02,-0.17342985675650252
2025-01-03,0.6856208216752375
2025-01-04,0.4297572623252221
2025-01-05,0.36074143381633694
2025-01-06,0.8702241353290866
2025-01-07,0.9207235220429049
2025-01-08,1.1524595966296518
2025-01-09,1.0508997189051938
2025-01-10,1.4885610704249566
2025-01-11,1.191175793110246
2025-01-12,0.7170426622971693
2025-01-13,0.25525382601413715
2025-01-14,0.79952499392974
2025-01-15,0.41572965490471686
2025-01-16,0.8550743193149404
2025-01-17,-0.2542288754986125
2025-01-18,0.028006585801952675
2025-01-19,-0.59594139226212
2025-01-20,-0.8899600437959091
2025-01-21,-1.585168267556148
2025-01-22,-0.8366551355979891
2025-01-23,-1.4202036042910067
2025-01-24,-1.2608499839940672
2025-01-25,-0.99937538167585
2025-01-26,-0.9477537863683907
2025-01-27,-1.2412113336053603
2025-01-28,-0.753611699668598
2025-01-29,0.10600008305996175
2025-01-30,0.25525382601413715
