date,sales
2025-01-01,0.3214641330389222
2025-01-02,3.1325966601081685
2025-01-03,0.7765197177601115
2025-01-04,0.7950361595551784
2025-01-05,0.7877418036965159
2025-01-06,1.5222273282341687
2025-01-07,0.979078368912207
2025-01-08,0.7826918650251339
2025-01-09,1.6591367766583005
2025-01-10,1.6041485555699189
2025-01-11,0.23000413265722758
2025-01-12,1.0660495349193393
2025-01-13,2.474421319938064
2025-01-14,0.8460966505658172
2025-01-15,-0.29013955049510587
2025-01-16,0.23842069710953104
2025-01-17,-0.6268021285872313
2025-01-18,-0.42143795595103495
2025-01-19,-1.3837318249976929
2025-01-20,-1.0470692469055674
2025-01-21,-1.0616579586228931
2025-01-22,2.1371976375491175
2025-01-23,-0.3075337836965325
2025-01-24,-0.8130887551315402
2025-01-25,-0.8501216387216746
2025-01-26,-1.3091049535206052
2025-01-27,-1.307982744926965
2025-01-28,-0.3782329250958783
2025-01-29,-0.17230764816286154
2025-01-30,0.2805035193710467
