date,sales
2025-01-01,0.14696069672783724
2025-01-02,0.2103654822685206
2025-01-03,0.6609322326151484
2025-01-04,1.114304504445877
2025-01-05,0.7972805767424588
2025-01-06,0.9336289208697699
2025-01-07,1.532327205576933
2025-01-08,-0.9006210254354929
2025-01-09,0.9835672032867685
2025-01-10,1.2023978790466503
2025-01-11,0.8068193497884024
2025-01-12,-1.5952681448989114
2025-01-13,0.6541989810533057
2025-01-14,-0.17062433527240164
2025-01-15,-0.3546665446294294
2025-01-16,-0.2710620044032186
2025-01-17,-0.6346575887427142
2025-01-18,-0.4825983243044371
2025-01-19,-1.0184529277677372
2025-01-20,-1.3175215179729085
2025-01-21,-0.6234355028063099
2025-01-22,-1.163217836347351
2025-01-23,-1.0936409035416448
2025-01-24,-1.4729474081921061
2025-01-25,-1.1362848300999808
2025-01-26,-0.8164553809124616
2025-01-27,-0.9943254430044679
2025-01-28,-2.602450357691187
2025-01-29,-0.4017993055623272
2025-01-30,-0.07411439621932497
