date,sales
2025-01-01,108.7
2025-01-02,107.42
2025-01-03,103.37
2025-01-04,116.98
2025-01-05,116.17
2025-01-06,126.87
2025-01-07,112.6
2025-01-08,116.86
2025-01-09,116.01
2025-01-10,104.68
2025-01-11,119.37
2025-01-12,116.23
2025-01-13,110.36
2025-01-14,104.16
2025-01-15,88.72
2025-01-16,93.84
2025-01-17,90.36
2025-01-18,82.07
2025-01-19,84.71
2025-01-20,87.28
2025-01-21,99.34
2025-01-22,81.92
2025-01-23,82.48
2025-01-24,80.02
2025-01-25,64.1
2025-01-26,84.5
2025-01-27,88.47
2025-01-28,115.0
2025-01-29,93.87
2025-01-30,102.86
