date,sales
2025-01-01,99.62
2025-01-02,91.44
2025-01-03,120.97
2025-01-04,120.37
2025-01-05,123.94
2025-01-06,107.67
2025-01-07,134.7
2025-01-08,104.55
2025-01-09,86.19
2025-01-10,142.67
2025-01-11,105.66
2025-01-12,107.52
2025-01-13,111.41
2025-01-14,100.85
2025-01-15,85.11
2025-01-16,98.59
2025-01-17,81.93
2025-01-18,94.9
2025-01-19,76.13
2025-01-20,100.5
2025-01-21,72.8
2025-01-22,76.72
2025-01-23,88.98
2025-01-24,67.19
2025-01-25,84.83
2025-01-26,99.14
2025-01-27,70.21
2025-01-28,93.63
2025-01-29,98.56
2025-01-30,108.6
