date,sales
2025-01-01,97.49
2025-01-02,96.77
2025-01-03,112.08
2025-01-04,107.52
2025-01-05,106.29
2025-01-06,115.37
2025-01-07,116.27
2025-01-08,120.4
2025-01-09,118.59
2025-01-10,126.39
2025-01-11,121.09
2025-01-12,112.64
2025-01-13,104.41
2025-01-14,114.11
2025-01-15,107.27
2025-01-16,115.1
2025-01-17,95.33
2025-01-18,100.36
2025-01-19,89.24
2025-01-20,84.0
2025-01-21,71.61
2025-01-22,84.95
2025-01-23,74.55
2025-01-24,77.39
2025-01-25,82.05
2025-01-26,82.97
2025-01-27,77.74
2025-01-28,86.43
2025-01-29,101.75
2025-01-30,104.41
